;DATASET;EMISSIEJAAR;STOFCODE;STOF;CODE_EMISSIEOORZAAK;EMISSIEOORZAAK;CODE_BEDRIJF;NAAM_BEDRIJF;SBI_CODE;SBI;XCO_BEDRIJF;YCO_BEDRIJF;IDG_CODE;IDG_NAAM;EMISSIEPUNT_CODE;EMISSIEPUNT_NAAM;XCO_EMISSIEPUNT;YCO_EMISSIEPUNT;TYPE;HOOGTE;LENGTE;BREEDTE;HOEK;UITSTROOMOPENING_M2;TEMPERATUUR;UITTREEDSNELHEID;VOLUMESTROOM;WARMTEINHOUD;EMISSIE;XCO_EMISSIEPUNT_HARM;YCO_EMISSIEPUNT_HARM;XCO_BEDRIJF_HARM;YCO_BEDRIJF_HARM
907;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T104201;SBI 38.2 (per bedrijf): Afvalinzameling/beh, AVI's;75305;Twence BV Boeldershoek;38210;Behandeling van onschadelijk afval;250428;472719;pub_0901;AVI's;45530;Schoorsteen NSA lijn-3;250522;472748;P;40.0;;;;0.05;200.0;36.0;1.8;0.435;5670.0;250522;472747;250428;472718
908;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108400;SBI 30.1 (per bedrijf): Scheepsbouw;53129;Damen Schelde Naval Shipbuilding B.V. en Scheldepoort B.V;30110;Bouw van schepen en drijvend materieel (geen sport- en recreatievaartuigen);35794;387217;pub_0210;Metaalelektro;56880;Energieopwekking;35899;387100;P;4.0;;;;0.0;;;;0.4;423000.0;35899;387099;35794;387216
909;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102100;SBI 17.1 (per bedrijf): Vervaardiging van papierpulp, papier en karton;66248;Loparex BV;17129;Vervaardiging van papier en karton (geen grafisch en niet voor verpakking);193050;467151;pub_0211;Papier(waren);56780;Naverbrander EX8;193136;467354;P;17.0;;;;0.283;100.0;6.0;1.6;0.181;621.76625;193136;467353;193050;467150
910;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100600;SBI 17 (per bedrijf): Vervaardiging van papier, karton en papier- en kartonwaren;66248;Loparex BV;17129;Vervaardiging van papier en karton (geen grafisch en niet voor verpakking);193050;467151;pub_0211;Papier(waren);56780;Naverbrander EX8;193136;467354;P;17.0;;;;0.283;100.0;6.0;1.6;0.181;268.23375;193136;467353;193050;467150
911;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102100;SBI 17.1 (per bedrijf): Vervaardiging van papierpulp, papier en karton;104307;Solidus Solutions (Bad Nieuweschans);17121;Vervaardiging van grafisch papier en karton;276380;578810;pub_0211;Papier(waren);56840;fakkel AWZI 2021;276221;578664;P;6.0;;;;0.5;;;;0.007;104300.0;276221;578663;276380;578809
912;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T151100;SBI 46/47 (per bedrijf): Detail- en groothandel;200152;J.A. ter Maten Pluimveebedrijf BV;46320;Groothandel in vlees en vleesproducten en in wild en gevogelte (niet levend);153720;471364;pub_1201;Energiegebruik en processen Handel, Diensten en Overheid (HDO);56234;Schoorsteen 3 CV ketels;153717;471383;P;12.0;;;;0.02;180.0;3.0;0.06;0.0;215000.0;153717;471382;153720;471363
913;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101702;SBI 20.5 (per bedrijf): Overige chemische producten;205493;Euro Support Advanced Materials B.V.;20590;Vervaardiging van overige chemische producten n.e.g.;172961;407060;pub_0304;Chemische Industrie overig;56961;Stoomgenerator 1;173350;406969;P;14.0;;;;0.047;151.0;1.0;0.05;0.009;55153.0;173350;406968;172961;407059
914;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T151100;SBI 46/47 (per bedrijf): Detail- en groothandel;205661;Woodvision B.V.;46731;Groothandel in hout en plaatmateriaal;188580;509257;pub_1201;Energiegebruik en processen Handel, Diensten en Overheid (HDO);57091;Schoorsteen cv kantoor beneden;188608;509292;P;2.0;;;;0.1;;;;0.003;12360.0;188608;509291;188580;509256
915;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102102;SBI 23 (per bedrijf): Bouwmaterialen- en glasindustrie;59;Koninklijke Mosa BV Wandtegelfabriek;23310;Vervaardiging van keramische tegels en plavuizen;177450;318650;pub_0203;Bouwmaterialenindustrie;55789;SBOB1 (RG);177429;318639;P;12.0;;;;0.5;;;;0.0;3013985.0;177429;318638;177450;318649
916;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;42310;Suiker Unie (Dinteloord);10810;Vervaardiging van suiker;89012;403688;pub_0216;Voedings- en genotmiddelenindustrie;34985;Schoorsteen kalkoven;88950;403788;P;65.0;;;;0.3;31.0;4.0;1.18;0.029;15050000.0;88950;403787;89012;403687
