;DATASET;EMISSIEJAAR;STOFCODE;STOF;CODE_EMISSIEOORZAAK;EMISSIEOORZAAK;CODE_BEDRIJF;NAAM_BEDRIJF;SBI_CODE;SBI;XCO_BEDRIJF;YCO_BEDRIJF;IDG_CODE;IDG_NAAM;EMISSIEPUNT_CODE;EMISSIEPUNT_NAAM;XCO_EMISSIEPUNT;YCO_EMISSIEPUNT;TYPE;HOOGTE;LENGTE;BREEDTE;HOEK;UITSTROOMOPENING_M2;TEMPERATUUR;UITTREEDSNELHEID;VOLUMESTROOM;WARMTEINHOUD;EMISSIE;XCO_EMISSIEPUNT_HARM;YCO_EMISSIEPUNT_HARM;XCO_BEDRIJF_HARM;YCO_BEDRIJF_HARM
868;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;104003;Delesto BV;20130;Vervaardiging van overige anorganische basischemicaliën;259432;593623;pub_0301;Chemische Industrie basisproducten;42906;Schoorsteen 2200;259500;593680;P;40.0;;;;16.0;90.0;7.0;115.0;11.517;104845761.0;259500;593679;259432;593622
869;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;104003;Delesto BV;20130;Vervaardiging van overige anorganische basischemicaliën;259432;593623;pub_0301;Chemische Industrie basisproducten;42907;Schoorsteen 2300;259500;593680;P;40.0;;;;16.0;90.0;7.0;105.0;10.516;223732304.0;259500;593679;259432;593622
870;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100600;SBI 17 (per bedrijf): Vervaardiging van papier, karton en papier- en kartonwaren;104305;ESKA Graphic Board BV (Sappemeer);17122;Vervaardiging van papier en karton voor verpakking;249900;575960;pub_0211;Papier(waren);42492;Divers, overig, diffuus;249900;575960;P;5.0;;;;0.0;;;;0.0;1776059.383188801;249900;575959;249900;575959
871;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100600;SBI 17 (per bedrijf): Vervaardiging van papier, karton en papier- en kartonwaren;104305;ESKA Graphic Board BV (Sappemeer);17122;Vervaardiging van papier en karton voor verpakking;249900;575960;pub_0211;Papier(waren);42494;Schoorsteen Ketel 4;249880;576060;P;25.0;;;;2.0;110.0;5.0;9.5;1.195;21475986.0;249880;576059;249900;575959
872;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T104201;SBI 38.2 (per bedrijf): Afvalinzameling/beh, AVI's;28091;HVC (Alkmaar);38210;Behandeling van onschadelijk afval;112698;513765;pub_0901;AVI's;42990;BEC;112698;513765;P;80.0;;;;2.69;80.0;14.0;37.23;3.251;228265000.0;112698;513764;112698;513764
873;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;28176;Nuon Power IJmond 1;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;101894;498859;pub_0503;Opwekking electriciteit;43338;IJmond 01;101900;498870;P;68.0;;;;28.0;122.0;15.0;414.0;58.473;1535183216.0;101900;498869;101894;498858
874;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106200;SBI 25 (per bedrijf): Metaalproductenindustrie (exclusief machinebouw);3062;Verzinkerij van Aert BV;25610;Oppervlaktebehandeling en bekleding van metaal;180687;367964;pub_0210;Metaalelektro;40790;Divers, overig, diffuus;180687;367964;P;5.0;;;;;;;;0.0;1176000.0;180687;367963;180687;367963
875;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T104300;SBI 23.32 (per bedrijf): Vervaardiging van bakstenen en dakpannen;4711;Wienerberger Steenfabriek Thorn;23320;Vervaardiging van keramische producten voor de bouw (geen tegels en plavuizen);188170;352040;pub_0203;Bouwmaterialenindustrie;44228;Standaard steenbakkerij;188170;352040;P;30.0;;;;0.0;;;;1.0;2515165.8374;188170;352039;188170;352039
876;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102102;SBI 23 (per bedrijf): Bouwmaterialen- en glasindustrie;4753;Rockwool B.V.;23990;Vervaardiging van niet-metaalhoudende minerale producten (geen schuur-, slijp- en polijstmiddelen);200915;353671;pub_0203;Bouwmaterialenindustrie;35002;Lijn 2 bouwproducten en halffabrikaat pijpschalen;200850;353730;P;50.0;;;;0.5;195.0;10.0;4.87;1.144;23332500.378961;200850;353729;200915;353670
877;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;48002;Unipol Holland BV;20160;Vervaardiging van kunststof in primaire vorm;166312;421568;pub_0301;Chemische Industrie basisproducten;37471;verbranden van KWS;166376;421578;P;10.0;;;;2.0;58.8;7.0;13.056;0.785;1032269.0;166376;421577;166312;421567
878;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T103600;SBI 20.59 (per bedrijf): Vervaardiging van overige chemische producten n.e.g.;48018;FUJIFILM Manufacturing Europe BV;20590;Vervaardiging van overige chemische producten n.e.g.;129000;401000;pub_0304;Chemische Industrie overig;46755;Productie van membranen M-P1;129119;400823;P;10.0;;;;0.4;239.9;11.0;4.44;1.299;6.0;129119;400822;129000;400999
879;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102102;SBI 23 (per bedrijf): Bouwmaterialen- en glasindustrie;44772;Ardagh Glass Dongen BV;23130;Vervaardiging van holglas;127823;402831;pub_0203;Bouwmaterialenindustrie;41725;Schoorsteen glasoven 14/15;127900;402880;P;50.0;;;;2.0;270.0;4.0;8.3;2.75;38174402.0;127900;402879;127823;402830
880;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102102;SBI 23 (per bedrijf): Bouwmaterialen- en glasindustrie;44773;Saint Gobain Construction Products;23140;Vervaardiging van glasvezels;100624;397751;pub_0203;Bouwmaterialenindustrie;37441;Stoomoververhitters;100700;397760;P;13.0;;;;0.1;12.0;2.0;0.21;0.0;862047.0;100700;397759;100624;397750
881;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;92012;FrieslandCampina (Leeuwarden);10510;Vervaardiging van zuivelproducten (geen consumptie-ijs);183850;579150;pub_0216;Voedings- en genotmiddelenindustrie;35952;Divers, overig, diffuus;183850;579150;P;5.0;;;;0.0;;;;0.0;2946077.0;183850;579149;183850;579149
882;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;92012;FrieslandCampina (Leeuwarden);10510;Vervaardiging van zuivelproducten (geen consumptie-ijs);183850;579150;pub_0216;Voedings- en genotmiddelenindustrie;35955;Ketel 9;183850;579150;P;70.0;;;;0.0;;;;0.1;4000000.0;183850;579149;183850;579149
883;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;92030;FrieslandCampina Workum;10510;Vervaardiging van zuivelproducten (geen consumptie-ijs);159600;554080;pub_0216;Voedings- en genotmiddelenindustrie;35502;Ketel 2;159600;554080;P;20.0;;;;0.0;;;;15.67;12613665.0;159600;554079;159600;554079
884;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T107000;SBI 38.3 (per bedrijf): Voorbereiding tot recycling;92615;Sonac Burgum BV;38320;Gesorteerd materiaal voorbereiden tot recycling;195412;577315;pub_0904;Overige afvalbedrijven;42370;Divers, overig, diffuus;195412;577315;P;5.0;;;;0.0;;;;0.0;1240783.0;195412;577314;195412;577314
885;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100600;SBI 17 (per bedrijf): Vervaardiging van papier, karton en papier- en kartonwaren;104307;Solidus Solutions (Bad Nieuweschans);17121;Vervaardiging van grafisch papier en karton;276380;578810;pub_0211;Papier(waren);42739;Divers, overig, diffuus;276380;578810;P;5.0;;;;0.0;;;;0.0;68768.5;276380;578809;276380;578809
886;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102100;SBI 17.1 (per bedrijf): Vervaardiging van papierpulp, papier en karton;104307;Solidus Solutions (Bad Nieuweschans);17121;Vervaardiging van grafisch papier en karton;276380;578810;pub_0211;Papier(waren);42743;Schoorsteen stoomketel 1;276340;578689;P;15.0;;;;1.0;;;;0.1;938700.0;276340;578688;276380;578809
887;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T106100;SBI 22.2 (per bedrijf): Vervaardiging van producten van kunststof;104611;Schur Flexible Benelux BV;22220;Vervaardiging van verpakkingsmiddelen van kunststof;222100;575550;pub_0213;Rubber- en kunstofverw. Industrie;46829;Gasbrander thermische olieketel Zernikelaan;220931;577639;P;12.0;;;;0.091;;;;0.8;287580.0;220931;577638;222100;575549
888;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;104710;ESD-SIC BV;20130;Vervaardiging van overige anorganische basischemicaliën;260222;591232;pub_0301;Chemische Industrie basisproducten;42640;Drogen van siliciumcarbide;260250;591280;P;20.0;;;;0.2;;;;0.0;190237.0;260250;591279;260222;591231
889;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102800;SBI 20.16 (per bedrijf): Vervaardiging van kunststof in primaire vorm;105001;Dynea;20160;Vervaardiging van kunststof in primaire vorm;260126;593401;pub_0301;Chemische Industrie basisproducten;42890;Divers, overig, diffuus;260126;593401;P;5.0;;;;0.0;;;;0.0;5613700.31;260126;593400;260126;593400
890;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T103700;SBI 20.6 (per bedrijf): Vervaardiging van synthetische en kunstmatige vezels;105004;Teijin Aramid BV;20600;Vervaardiging van synthetische en kunstmatige vezels;258810;593450;pub_0304;Chemische Industrie overig;35149;Gas gestookt fornuis AF-8201A = L31;259770;593520;P;25.0;;;;0.0;;;;0.64;3154376.48048315;259770;593519;258810;593449
891;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102500;SBI 20.13 (per bedrijf): Basischemie anorganisch;105016;Nobian Chemicals BV (Chemie Park Delfzijl);20130;Vervaardiging van overige anorganische basischemicaliën;259000;593700;pub_0301;Chemische Industrie basisproducten;42715;MCA C-4111;259000;593700;P;13.0;;;;0.02;19.0;1.0;0.022;0.0;11354.0;259000;593699;259000;593699
892;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100600;SBI 17 (per bedrijf): Vervaardiging van papier, karton en papier- en kartonwaren;48024;SCA Tissue Nederland BV;17220;Vervaardiging van huishoudelijke en sanitaire papierwaren;187500;418200;pub_0211;Papier(waren);39455;Gaskap PM 4;187440;418260;P;10.0;;;;0.41;162.0;9.0;3.709;0.714;1832554.412;187440;418259;187500;418199
893;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T104702;SBI 24.45 (per bedrijf) Vervaardiging van overige non-ferrometalen, aluminium;48051;KBM Master Alloys BV (Oss);24420;Vervaardiging van aluminium;166180;421650;pub_0201;Basismetaal;42950;Schoorsteen insmeltoven;166180;421650;P;13.0;;;;0.3;20.0;0.0;0.01;6.5e-05;109630.0;166180;421649;166180;421649
